Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
71,5/7/2023,CUST071,Female,,Beauty,,,
72,5/2/2023,CUST072,Male,57,Electronics,2,25,50
73,24/1/2023,CUST073,Male,49,Clothing,4,25,100
74,5/12/2023,CUST074,Male,51,Electronics,4,500,2000
75,27/4/2023,CUST075,Female,45,Electronics,1,30,30
76,29/5/2023,CUST076,Female,48,Beauty,4,300,1200
77,10/2/2023,CUST077,Male,25,Electronics,1,300,300
78,30/4/2023,CUST078,Female,56,Beauty,3,25,75
79,23/1/2023,CUST079,Female,,Electronics,,,
80,10/2/2023,CUST080,Male,,Clothing,,,
81,10/10/2023,CUST081,Male,,Clothing,,,
82,21/2/2023,CUST082,Female,43,Clothing,1,300,300
83,14/7/2023,CUST083,Female,51,Beauty,4,25,100
84,21/8/2023,CUST084,,,Clothing,,,
85,23/5/2023,CUST085,Female,20,Electronics,4,500,2000
86,21/8/2023,CUST086,Male,29,Electronics,3,30,90
87,22/11/2023,CUST087,Female,18,Beauty,4,500,2000
88,6/7/2023,CUST088,Male,61,Beauty,4,50,200
89,25/3/2023,CUST089,Female,22,Electronics,2,50,100
90,9/7/2023,CUST090,Female,47,Clothing,2,50,100
91,1/7/2023,CUST091,Female,47,Clothing,3,500,1500
92,18/4/2023,CUST092,Male,34,Beauty,1,300,300
93,10/12/2023,CUST093,Female,64,Clothing,2,30,60
94,17/5/2023,CUST094,Male,40,Electronics,1,50,50
95,26/12/2023,CUST095,Female,32,Beauty,4,50,200
96,16/12/2023,CUST096,Male,54,Electronics,2,50,100
97,28/11/2023,CUST097,Female,38,Electronics,3,30,90
98,6/2/2023,CUST098,Male,31,Clothing,3,50,150
99,8/11/2023,CUST099,Male,19,Beauty,3,30,90
100,22/11/2023,CUST100,Female,28,Beauty,2,50,100
101,29/3/2023,CUST101,Male,56,Clothing,1,500,500
102,1/10/2023,CUST102,Female,55,Electronics,4,500,2000
103,6/5/2023,CUST103,Female,51,Electronics,1,30,30
104,25/3/2023,CUST104,Female,55,Electronics,1,500,500
105,25/8/2023,CUST105,Female,51,Electronics,4,30,120
106,14/7/2023,CUST106,Female,35,Beauty,4,500,2000
107,19/5/2023,CUST107,Female,47,Beauty,2,500,1000
108,24/11/2023,CUST108,Female,32,Clothing,2,30,60
109,19/12/2023,CUST109,Female,44,Clothing,2,300,600
110,13/10/2023,CUST110,Female,51,Beauty,2,500,1000
111,23/4/2023,CUST111,Female,55,Beauty,2,50,100
112,25/7/2023,CUST112,Female,,Beauty,,,
113,17/12/2023,CUST113,Female,50,Electronics,4,300,1200
114,16/6/2023,CUST114,Male,41,Electronics,1,30,30
115,29/1/2023,CUST115,Male,32,Clothing,2,300,600
116,28/4/2023,CUST116,Female,47,Beauty,2,25,50
117,17/1/2023,CUST117,Female,59,Clothing,1,25,25
118,11/6/2023,CUST118,Female,34,Beauty,2,500,1000
119,25/7/2023,CUST119,Female,22,Electronics,1,500,500
120,11/6/2023,CUST120,Female,,,,,
121,18/5/2023,CUST121,Female,46,Clothing,1,50,50
122,3/2/2023,CUST122,Female,21,Clothing,4,300,1200
123,19/4/2023,CUST123,Female,27,Beauty,3,25,75
124,18/10/2023,CUST124,Female,34,Electronics,4,500,2000
125,11/6/2023,CUST125,Male,27,Clothing,3,300,900
126,16/5/2023,CUST126,Male,,Beauty,,,
127,13/3/2023,CUST127,Male,,Beauty,,,
128,7/5/2023,CUST128,Male,,Electronics,,,
129,15/10/2023,CUST129,Male,,Electronics,,,
130,19/4/2023,CUST130,Female,34,Electronics,3,500,1500
131,2/12/2023,CUST131,Male,37,Clothing,3,500,1500
132,13/9/2023,CUST132,Female,41,Electronics,2,25,50
133,22/7/2023,CUST133,Female,22,Beauty,4,25,100
134,26/11/2023,CUST134,Male,51,Clothing,3,500,1500
135,23/8/2023,CUST135,Female,23,Clothing,1,30,30
136,15/3/2023,CUST136,Male,19,Electronics,2,500,1000
137,16/5/2023,CUST137,Female,30,Electronics,4,500,2000
138,13/3/2023,CUST138,Female,60,Clothing,3,50,150
139,7/5/2023,CUST139,Male,60,Beauty,1,50,50
140,15/10/2023,CUST140,Female,28,Electronics,4,50,200
141,3/10/2023,CUST141,Male,64,Electronics,4,30,120
142,15/5/2023,CUST142,Female,40,Electronics,2,30,60
143,27/10/2023,CUST143,Male,33,Clothing,4,500,2000
144,26/10/2023,CUST144,Male,,Beauty,,,
145,8/8/2023,CUST145,Male,48,Clothing,2,50,100
146,26/10/2023,CUST146,Female,28,Clothing,3,30,90
147,24/7/2023,CUST147,Female,33,Clothing,2,25,50
148,5/7/2023,CUST148,Male,25,Beauty,1,500,500
149,23/4/2023,CUST149,Female,21,Beauty,2,300,600
150,12/3/2023,CUST150,Female,57,Clothing,1,500,500
151,18/9/2023,CUST151,Female,21,Beauty,2,300,600
152,10/9/2023,CUST152,Male,42,Electronics,4,50,200
153,16/2/2023,CUST153,Male,20,Electronics,3,300,900
154,25/1/2023,CUST154,Male,49,Electronics,1,50,50
155,26/2/2023,CUST155,Male,20,Clothing,2,25,50
156,20/3/2023,CUST156,Male,44,Electronics,2,300,600
157,18/11/2023,CUST157,Male,46,Beauty,2,500,1000
158,23/3/2023,CUST158,Male,49,Clothing,4,50,200
159,15/12/2023,CUST159,Male,36,Beauty,4,500,2000
160,5/8/2023,CUST160,Male,38,Electronics,1,30,30
161,2/11/2023,CUST161,Female,22,Electronics,1,50,50
162,2/2/2023,CUST162,Male,35,Electronics,4,300,1200
163,17/7/2023,CUST163,Female,45,Clothing,1,50,50
164,15/7/2023,CUST164,Female,59,Beauty,3,500,1500
165,2/11/2023,CUST165,Female,39,Clothing,3,25,75
166,28/8/2023,CUST166,Male,38,Clothing,4,50,200
167,28/9/2023,CUST167,Male,23,Electronics,1,300,300
168,9/5/2023,CUST168,Male,18,Clothing,2,30,60
169,11/10/2023,CUST169,Male,22,Clothing,3,25,75
170,6/1/2023,CUST170,Female,58,Electronics,4,30,120
171,15/12/2023,CUST171,Male,29,Clothing,1,50,50
172,28/2/2023,CUST172,Male,43,Electronics,4,500,2000
173,16/12/2023,CUST173,Male,63,Electronics,2,500,1000
174,2/10/2023,CUST174,Male,51,Electronics,3,300,900
175,17/5/2023,CUST175,Male,31,Electronics,4,500,2000
176,25/11/2023,CUST176,Female,43,Clothing,4,25,100
177,24/6/2023,CUST177,Male,62,Electronics,4,500,2000
178,27/2/2023,CUST178,Female,44,Electronics,2,300,600
179,31/5/2023,CUST179,Male,26,Clothing,4,50,200
180,11/8/2023,CUST180,Female,43,Clothing,2,50,100
181,22/3/2023,CUST181,Male,64,Beauty,2,500,1000
182,21/8/2023,CUST182,Male,39,Clothing,2,30,60
183,2/1/2023,CUST183,Female,64,Clothing,3,50,150
184,15/5/2023,CUST184,Female,47,Beauty,3,500,1500
185,14/9/2023,CUST185,Female,60,Clothing,4,300,1200
186,2/4/2023,CUST186,Male,34,Clothing,4,500,2000
187,17/9/2023,CUST187,Female,43,Clothing,3,50,150
188,24/2/2023,CUST188,Male,53,Clothing,1,300,300
189,17/11/2023,CUST189,Male,18,Beauty,3,500,1500
190,2/6/2023,CUST190,Female,25,Clothing,2,25,50
191,24/11/2023,CUST191,Female,52,Clothing,3,300,900
192,17/9/2023,CUST192,Male,32,Beauty,2,25,50
193,8/11/2023,CUST193,Male,64,Electronics,4,30,120
194,12/4/2023,CUST194,Female,39,Beauty,1,300,300
195,20/3/2023,CUST195,Female,31,Electronics,4,25,100
196,11/7/2023,CUST196,Female,43,Beauty,2,50,100
197,24/3/2023,CUST197,Male,45,Beauty,2,50,100
198,4/10/2023,CUST198,Male,40,Clothing,2,30,60
199,8/9/2023,CUST199,Male,,Beauty,,,
200,29/9/2023,CUST200,Male,31,Electronics,1,300,300
201,1/1/2023,CUST201,Male,41,Clothing,3,300,900
202,3/11/2023,CUST202,Male,19,Electronics,4,300,1200
203,15/6/2023,CUST203,Male,62,Beauty,4,30,120
204,8/9/2023,CUST204,Female,43,Beauty,3,300,900
205,10/1/2023,CUST205,Male,31,Electronics,4,50,200
206,27/2/2023,CUST206,Male,24,Clothing,1,25,25
207,5/7/2023,CUST207,Male,20,Clothing,4,50,200
208,7/6/2023,CUST208,Female,64,Clothing,2,50,100
209,3/5/2023,CUST209,Male,40,Clothing,3,25,75
210,30/1/2023,CUST210,Male,63,Beauty,1,50,50
211,4/5/2023,CUST211,Female,60,Beauty,3,30,90
212,18/10/2023,CUST212,Male,64,Beauty,1,25,25
213,30/1/2023,CUST213,Male,,Beauty,,,
214,10/2/2023,CUST214,Male,62,Beauty,2,50,100
215,13/2/2023,CUST215,Male,35,Beauty,3,500,1500
216,6/9/2023,CUST216,Male,55,Clothing,4,50,200
217,5/2/2023,CUST217,Male,52,Clothing,1,30,30
218,30/9/2023,CUST218,Female,32,Clothing,3,300,900
219,6/3/2023,CUST219,Female,42,Clothing,4,50,200
220,7/3/2023,CUST220,Female,54,Beauty,3,300,900
221,4/12/2023,CUST221,Male,45,Beauty,3,500,1500
222,1/9/2023,CUST222,Male,27,Beauty,3,50,150
223,9/10/2023,CUST223,Male,56,Electronics,1,25,25
224,26/3/2023,CUST224,Female,34,Clothing,4,300,1200
225,16/5/2023,CUST225,Male,56,Clothing,2,500,1000
226,28/9/2023,CUST226,Male,39,Beauty,1,25,25
227,7/11/2023,CUST227,Female,43,Clothing,1,25,25
228,5/8/2023,CUST228,Male,61,Clothing,1,25,25
229,19/4/2023,CUST229,Female,42,Beauty,2,25,50
230,4/10/2023,CUST230,Female,34,Electronics,4,50,200
231,20/12/2023,CUST231,Female,30,Electronics,4,50,200
232,13/4/2023,CUST232,Male,37,Electronics,4,50,200
233,1/1/2024,CUST233,Male,42,Beauty,3,500,1500
234,9/6/2023,CUST234,Male,21,Clothing,3,500,1500
235,24/7/2023,CUST235,Male,27,Beauty,3,500,1500
236,10/12/2023,CUST236,Male,20,Beauty,2,30,60
237,20/12/2023,CUST237,Male,,Beauty,,,
238,29/11/2023,CUST238,Male,58,Clothing,3,500,1500
239,11/7/2023,CUST239,Male,62,Electronics,2,50,100
240,13/8/2023,CUST240,Female,35,Electronics,4,50,200
241,22/9/2023,CUST241,Male,64,Beauty,3,30,90
242,20/8/2023,CUST242,Female,53,Electronics,3,30,90
243,3/3/2023,CUST243,Male,64,Beauty,1,500,500
244,7/5/2023,CUST244,Male,39,Beauty,2,300,600
245,26/4/2023,CUST245,Male,51,Clothing,4,30,120
246,2/2/2023,CUST246,Female,64,Clothing,1,25,25
247,23/6/2023,CUST247,Female,25,Clothing,1,50,50
248,11/1/2023,CUST248,Female,57,Beauty,4,25,100
249,29/10/2023,CUST249,Female,61,Clothing,1,50,50
250,11/10/2023,CUST250,Male,36,Electronics,2,50,100
251,28/4/2023,CUST251,Female,59,Electronics,2,30,60
252,29/10/2023,CUST252,Male,58,Beauty,3,30,90
253,23/4/2023,CUST253,Male,54,Beauty,1,25,25
254,4/1/2023,CUST254,Female,23,Clothing,3,50,150
255,6/2/2023,CUST255,Female,43,Beauty,1,25,25
256,29/12/2023,CUST256,Female,51,Beauty,2,300,600
257,20/11/2023,CUST257,Female,62,Electronics,2,25,50
258,31/1/2023,CUST258,Female,23,Electronics,2,500,1000
259,28/4/2023,CUST259,Female,54,Clothing,1,25,25
260,4/2/2023,CUST260,Female,50,Beauty,2,500,1000
261,17/1/2023,CUST261,Female,39,Beauty,1,500,500
262,19/6/2023,CUST262,Male,38,Electronics,3,500,1500
263,6/2/2023,CUST263,Female,23,Beauty,1,300,300
264,21/9/2023,CUST264,Female,23,Electronics,3,25,75
265,2/5/2023,CUST265,Male,21,Clothing,1,25,25
266,23/5/2023,CUST266,Female,47,Electronics,3,300,900
267,9/12/2023,CUST267,Male,28,Beauty,2,50,100
268,6/9/2023,CUST268,Male,47,Clothing,3,30,90
269,20/4/2023,CUST269,Female,48,Electronics,2,25,50
270,4/10/2023,CUST270,Male,41,Electronics,2,30,60
271,9/3/2023,CUST271,Male,26,Clothing,3,300,900
272,20/10/2023,CUST272,Male,20,Clothing,1,50,50
273,23/10/2023,CUST273,Male,48,Electronics,1,50,50
274,31/8/2023,CUST274,Female,57,Beauty,4,50,200
275,5/5/2023,CUST275,Male,54,Electronics,1,300,300
276,31/8/2023,CUST276,Female,53,Clothing,4,500,2000
277,28/7/2023,CUST277,Male,41,Electronics,1,500,500
278,8/4/2023,CUST278,Male,48,Clothing,1,30,30
279,18/2/2023,CUST279,Male,23,Clothing,2,500,1000
280,19/2/2023,CUST280,Male,19,Beauty,4,500,2000
281,4/12/2023,CUST281,Female,37,Clothing,1,50,50
282,9/8/2023,CUST282,Female,45,Clothing,4,50,200
283,1/7/2023,CUST283,Male,28,Beauty,2,30,60
284,5/8/2023,CUST284,Male,21,Clothing,2,25,50
285,30/7/2023,CUST285,Female,32,Beauty,4,30,120
286,28/8/2023,CUST286,Male,23,Beauty,2,30,60
287,28/1/2023,CUST287,Male,47,Clothing,3,300,900
288,11/12/2023,CUST288,Male,55,Clothing,3,300,900
289,1/12/2023,CUST289,Female,19,Electronics,2,30,60
290,27/11/2023,CUST290,Female,32,Beauty,3,30,90
291,26/7/2023,CUST291,Male,,Beauty,,,
292,20/2/2023,CUST292,Female,28,Electronics,1,30,30
293,1/2/2023,CUST293,Male,25,Clothing,4,500,2000
294,26/7/2023,CUST294,Male,43,Electronics,1,300,300
295,23/6/2023,CUST295,Female,62,Beauty,4,30,120
296,25/2/2023,CUST296,Female,61,Electronics,2,50,100
297,8/5/2023,CUST297,Female,22,Beauty,1,50,50
298,9/4/2023,CUST298,Female,23,Clothing,2,500,1000
299,8/4/2023,CUST299,Male,43,Clothing,2,500,1000
300,2/10/2023,CUST300,Female,21,Beauty,4,25,100
301,18/8/2023,CUST301,Male,36,Clothing,4,25,100
302,13/3/2023,CUST302,Female,37,Clothing,4,25,100
303,5/8/2023,CUST303,Male,50,Clothing,1,500,500
304,4/4/2023,CUST304,Female,37,Clothing,3,500,1500
305,23/5/2023,CUST305,Female,29,Beauty,4,500,2000
306,25/8/2023,CUST306,Female,64,Electronics,4,50,200
307,8/5/2023,CUST307,Female,18,Electronics,1,500,500
308,8/2/2023,CUST308,Male,43,Clothing,4,50,200
309,8/2/2023,CUST309,Male,,Clothing,,,
310,15/8/2023,CUST310,Female,31,Electronics,1,25,25
311,9/10/2023,CUST311,Male,55,Electronics,2,25,50
312,20/2/2023,CUST312,Male,54,Clothing,4,25,100
313,26/1/2023,CUST313,Male,28,Clothing,4,30,120
314,30/11/2023,CUST314,Male,53,Electronics,2,30,60
315,4/10/2023,CUST315,Female,30,Beauty,2,300,600
316,8/1/2023,CUST316,Male,60,Clothing,2,300,600
317,17/2/2023,CUST317,Male,20,Beauty,4,300,1200
318,2/5/2023,CUST318,Male,50,Electronics,3,30,90
319,27/3/2023,CUST319,Female,23,Clothing,3,30,90
320,28/7/2023,CUST320,Female,27,Beauty,3,300,900
321,6/9/2023,CUST321,Female,22,Clothing,4,300,1200
322,4/9/2023,CUST322,Female,40,Electronics,2,500,1000
323,20/4/2023,CUST323,Male,27,Beauty,4,300,1200
324,25/7/2023,CUST324,Male,61,Electronics,2,500,1000
325,31/1/2023,CUST325,Female,19,Electronics,4,50,200
326,26/3/2023,CUST326,Male,30,Clothing,4,30,120
327,14/7/2023,CUST327,Male,57,Beauty,2,300,600
328,2/1/2023,CUST328,Male,19,Electronics,3,30,90
329,20/4/2023,CUST329,Male,,Clothing,,,
330,25/7/2023,CUST330,Male,,Clothing,,,
331,19/7/2023,CUST331,Female,37,Electronics,2,30,60
332,16/5/2023,CUST332,Female,18,Beauty,1,30,30
333,21/8/2023,CUST333,Male,54,Electronics,1,50,50
334,27/5/2023,CUST334,Female,26,Electronics,2,25,50
335,5/8/2023,CUST335,Female,34,Beauty,4,300,1200
336,23/12/2023,CUST336,Female,26,Beauty,1,25,25
337,12/10/2023,CUST337,Female,28,Beauty,1,25,25
338,5/12/2023,CUST338,Female,32,Beauty,4,25,100
339,7/9/2023,CUST339,Male,41,Clothing,4,30,120
340,21/3/2023,CUST340,Female,55,Beauty,3,500,1500
341,8/4/2023,CUST341,Male,52,Clothing,4,30,120
342,1/6/2023,CUST342,Male,47,Clothing,2,30,60
343,22/4/2023,CUST343,Female,48,Clothing,2,25,50
344,30/1/2023,CUST344,Male,22,Electronics,3,30,90
345,24/10/2023,CUST345,Male,61,Clothing,1,25,25
346,5/10/2023,CUST346,Male,31,Clothing,1,500,500
347,1/2/2023,CUST347,Female,28,Electronics,4,300,1200
348,10/6/2023,CUST348,Female,26,Electronics,2,25,50
349,30/1/2023,CUST349,Male,51,Electronics,1,500,500
350,26/1/2023,CUST350,Female,29,Beauty,3,300,900
351,27/10/2023,CUST351,Female,52,Electronics,3,50,150
352,2/9/2023,CUST352,Female,52,Electronics,2,25,50
353,15/9/2023,CUST353,Female,18,Clothing,3,25,75
354,29/9/2023,CUST354,Male,57,Electronics,3,50,150
355,22/3/2023,CUST355,Male,39,Beauty,2,50,100
356,30/1/2023,CUST356,Female,,Clothing,,,
357,30/1/2023,CUST357,Female,46,Electronics,4,25,100
358,18/9/2023,CUST358,Female,25,Beauty,4,50,200
359,11/2/2023,CUST359,Male,28,Electronics,3,30,90
360,6/4/2023,CUST360,Male,58,Electronics,4,300,1200
361,5/2/2023,CUST361,Female,54,Electronics,4,300,1200
362,1/11/2023,CUST362,Male,31,Electronics,3,300,900
363,4/2/2023,CUST363,Female,47,Beauty,4,30,120
364,12/12/2023,CUST364,Female,52,Beauty,3,50,150
365,1/5/2023,CUST365,Male,38,Clothing,1,500,500
366,26/7/2023,CUST366,Male,54,Beauty,2,50,100
367,3/3/2023,CUST367,Female,22,Electronics,2,25,50
368,19/10/2023,CUST368,Female,36,Clothing,4,300,1200
369,7/5/2023,CUST369,Male,31,Clothing,4,50,200
370,24/10/2023,CUST370,Female,43,Clothing,4,500,2000
371,1/11/2023,CUST371,Male,21,Electronics,2,25,50
372,21/1/2023,CUST372,Female,42,Beauty,1,30,30
373,14/11/2023,CUST373,Male,62,Electronics,1,30,30
374,11/2/2023,CUST374,Male,59,Clothing,2,500,1000
375,3/8/2023,CUST375,Male,42,Electronics,1,25,25
376,3/12/2023,CUST376,Female,35,Electronics,2,300,600
377,26/10/2023,CUST377,Female,57,Beauty,1,50,50
378,17/10/2023,CUST378,Male,25,Beauty,3,25,75
379,25/9/2023,CUST379,Female,56,Clothing,3,30,90
380,11/6/2023,CUST380,Male,57,Electronics,2,500,1000
381,14/5/2023,CUST381,Male,31,Electronics,1,500,500
382,15/4/2023,CUST382,Female,49,Beauty,4,50,200
383,9/12/2023,CUST383,Female,55,Electronics,1,500,500
384,10/6/2023,CUST384,Male,50,Electronics,3,500,1500
385,3/5/2023,CUST385,Female,40,Electronics,3,25,75
386,16/5/2023,CUST386,Female,32,Beauty,1,300,300
387,22/7/2023,CUST387,Male,50,Clothing,1,50,50
388,9/3/2023,CUST388,Male,42,Clothing,4,25,100
389,10/12/2023,CUST389,Female,34,Electronics,4,300,1200
390,27/11/2023,CUST390,Male,50,Clothing,1,25,25
391,3/6/2023,CUST391,Male,64,Beauty,1,25,25
392,23/8/2023,CUST392,Female,19,Beauty,1,500,500
393,11/6/2023,CUST393,Male,31,Clothing,1,300,300
394,7/2/2023,CUST394,Male,57,Clothing,2,50,100
395,5/1/2023,CUST395,Female,57,Electronics,1,50,50
396,23/8/2023,CUST396,Female,56,Clothing,4,300,1200
397,15/11/2023,CUST397,Male,23,Electronics,3,500,1500
398,16/10/2023,CUST398,Male,23,Electronics,2,30,60
399,21/2/2023,CUST399,Female,20,Beauty,1,25,25
400,7/2/2023,CUST400,Female,24,Beauty,3,500,1500
401,3/10/2023,CUST401,Female,25,Beauty,2,300,600
402,20/4/2023,CUST402,Female,59,Beauty,3,25,75
403,17/9/2023,CUST403,Male,32,Clothing,1,50,50
404,16/5/2023,CUST404,Female,64,Beauty,1,30,30
405,9/3/2023,CUST405,Female,46,Clothing,4,50,200
406,28/6/2023,CUST406,Male,50,Beauty,1,300,300
407,5/2/2023,CUST407,Female,47,Clothing,1,25,25
408,6/5/2023,CUST408,Male,56,Electronics,2,300,600
409,9/7/2023,CUST409,Female,44,Clothing,4,25,100
410,26/5/2023,CUST410,Female,53,Clothing,2,500,1000
411,22/3/2023,CUST411,Female,46,Beauty,3,30,90
412,13/8/2023,CUST412,Male,55,Clothing,1,500,500
413,6/10/2023,CUST413,Male,50,Electronics,3,500,1500
414,27/12/2023,CUST414,Female,54,Electronics,2,300,600
415,4/6/2023,CUST415,Male,44,Beauty,1,30,30
416,10/11/2023,CUST416,Male,50,Electronics,1,25,25
417,1/12/2023,CUST417,Male,21,Clothing,2,25,50
418,28/9/2023,CUST418,Male,39,Electronics,2,50,100
419,16/5/2023,CUST419,,,Clothing,,,
420,5/1/2023,CUST420,Male,19,Beauty,2,25,50
421,8/12/2023,CUST421,Male,27,Clothing,2,300,600
422,11/10/2023,CUST422,Female,22,Beauty,2,500,1000
423,3/6/2023,CUST423,Female,27,Clothing,1,500,500
424,6/12/2023,CUST424,Male,50,Electronics,2,500,1000
425,23/2/2023,CUST425,Female,55,Beauty,1,30,30
426,10/3/2023,CUST426,Female,30,Beauty,1,25,25
427,16/5/2023,CUST427,Female,48,Clothing,2,300,600
428,1/3/2023,CUST428,Female,64,Beauty,2,30,60
429,24/2/2023,CUST429,Male,53,Clothing,4,50,200
430,11/10/2023,CUST430,Female,62,Clothing,1,300,300
431,21/3/2023,CUST431,Female,41,Clothing,2,300,600
432,20/5/2023,CUST432,Male,32,Clothing,2,300,600
433,25/5/2023,CUST433,Male,46,Electronics,2,500,1000
434,6/11/2023,CUST434,Female,25,Clothing,4,300,1200
435,18/4/2023,CUST435,Female,22,Beauty,4,25,100
436,25/6/2023,CUST436,Female,46,Electronics,3,300,900
437,15/4/2023,CUST437,Female,64,Beauty,1,500,500
438,18/12/2023,CUST438,Female,21,Electronics,3,300,900
439,21/11/2023,CUST439,Female,29,Clothing,2,50,100
440,16/5/2023,CUST440,Male,62,Electronics,4,50,200
441,16/9/2023,CUST441,Female,19,Electronics,4,500,2000
442,8/9/2023,CUST442,Female,44,Beauty,3,25,75
443,9/5/2023,CUST443,Male,48,Beauty,4,25,100
444,27/1/2023,CUST444,Male,53,Clothing,2,30,60
445,17/2/2023,CUST445,Male,53,Electronics,4,500,2000
446,21/11/2023,CUST446,Male,43,Electronics,3,300,900
447,5/8/2023,CUST447,Female,60,Electronics,2,500,1000
448,22/5/2023,CUST448,Female,44,Clothing,3,30,90
449,23/1/2023,CUST449,Female,22,Clothing,4,500,2000
450,2/1/2023,CUST450,Female,37,Clothing,3,500,1500
451,20/6/2023,CUST451,Female,28,Clothing,3,30,90
452,8/3/2023,CUST452,Female,27,Clothing,1,25,25
453,23/11/2023,CUST453,Male,57,Beauty,4,300,1200
454,15/5/2023,CUST454,Female,55,Electronics,4,30,120
455,24/3/2023,CUST455,Male,23,Electronics,3,50,150
456,15/8/2023,CUST456,Male,25,Electronics,1,25,25
457,10/10/2023,CUST457,Female,40,Electronics,4,50,200
458,28/12/2023,CUST458,Male,64,Electronics,2,25,50
459,7/8/2023,CUST459,Female,43,Electronics,3,300,900
460,15/10/2023,CUST460,Male,63,Electronics,4,300,1200
461,5/1/2023,CUST461,Female,60,Electronics,2,500,1000
462,27/2/2023,CUST462,Male,29,Beauty,4,50,200
463,8/2/2023,CUST463,Female,43,Electronics,2,25,50
464,20/12/2023,CUST464,Female,30,Beauty,3,300,900
